Cities,Cause_category,Cause_Subcategory,Outcome_of_incident,Count,Age
Agra,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0,34
Agra,Traffic Control,Flashing Signal/Blinker,Minor Injury,0,42
Agra,Traffic Control,Flashing Signal/Blinker,Persons Killed,0,73
Agra,Traffic Control,Flashing Signal/Blinker,Total Injured,0,57
Agra,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0,86
Agra,Traffic Control,Others,Greviously Injured,175,62
Agra,Traffic Control,Others,Minor Injury,91,11
Agra,Traffic Control,Others,Persons Killed,373,27
Agra,Traffic Control,Others,Total Injured,266,56
Agra,Traffic Control,Others,Total number of Accidents,470,11
Agra,Traffic Control,Police Controlled,Greviously Injured,0,19
Agra,Traffic Control,Police Controlled,Minor Injury,0,83
Agra,Traffic Control,Police Controlled,Persons Killed,0,64
Agra,Traffic Control,Police Controlled,Total Injured,0,29
Agra,Traffic Control,Police Controlled,Total number of Accidents,0,23
Agra,Traffic Control,Stop Sign,Greviously Injured,0,31
Agra,Traffic Control,Stop Sign,Minor Injury,0,62
Agra,Traffic Control,Stop Sign,Persons Killed,0,69
Agra,Traffic Control,Stop Sign,Total Injured,0,33
Agra,Traffic Control,Stop Sign,Total number of Accidents,0,57
Agra,Traffic Control,Traffic Light Signal,Greviously Injured,30,38
Agra,Traffic Control,Traffic Light Signal,Minor Injury,37,31
Agra,Traffic Control,Traffic Light Signal,Persons Killed,18,83
Agra,Traffic Control,Traffic Light Signal,Total Injured,67,51
Agra,Traffic Control,Traffic Light Signal,Total number of Accidents,66,81
Agra,Traffic Control,Uncontrolled,Greviously Injured,172,59
Agra,Traffic Control,Uncontrolled,Minor Injury,128,37
Agra,Traffic Control,Uncontrolled,Persons Killed,123,85
Agra,Traffic Control,Uncontrolled,Total Injured,300,11
Agra,Traffic Control,Uncontrolled,Total number of Accidents,370,81
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4,27
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,1,67
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,3,78
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total Injured,5,39
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,8,80
Ahmedabad,Traffic Control,Others,Greviously Injured,229,63
Ahmedabad,Traffic Control,Others,Minor Injury,122,21
Ahmedabad,Traffic Control,Others,Persons Killed,166,48
Ahmedabad,Traffic Control,Others,Total Injured,351,82
Ahmedabad,Traffic Control,Others,Total number of Accidents,642,74
Ahmedabad,Traffic Control,Police Controlled,Greviously Injured,11,61
Ahmedabad,Traffic Control,Police Controlled,Minor Injury,13,72
Ahmedabad,Traffic Control,Police Controlled,Persons Killed,13,26
Ahmedabad,Traffic Control,Police Controlled,Total Injured,24,66
Ahmedabad,Traffic Control,Police Controlled,Total number of Accidents,35,29
Ahmedabad,Traffic Control,Stop Sign,Greviously Injured,3,29
Ahmedabad,Traffic Control,Stop Sign,Minor Injury,2,76
Ahmedabad,Traffic Control,Stop Sign,Persons Killed,3,49
Ahmedabad,Traffic Control,Stop Sign,Total Injured,5,44
Ahmedabad,Traffic Control,Stop Sign,Total number of Accidents,8,39
Ahmedabad,Traffic Control,Traffic Light Signal,Greviously Injured,41,20
Ahmedabad,Traffic Control,Traffic Light Signal,Minor Injury,9,59
Ahmedabad,Traffic Control,Traffic Light Signal,Persons Killed,14,66
Ahmedabad,Traffic Control,Traffic Light Signal,Total Injured,50,67
Ahmedabad,Traffic Control,Traffic Light Signal,Total number of Accidents,58,31
Ahmedabad,Traffic Control,Uncontrolled,Greviously Injured,188,26
Ahmedabad,Traffic Control,Uncontrolled,Minor Injury,163,36
Ahmedabad,Traffic Control,Uncontrolled,Persons Killed,141,28
Ahmedabad,Traffic Control,Uncontrolled,Total Injured,351,12
Ahmedabad,Traffic Control,Uncontrolled,Total number of Accidents,434,51
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Greviously Injured,26,20
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Minor Injury,49,55
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Persons Killed,39,80
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Total Injured,75,32
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Total number of Accidents,104,78
Allahabad(Prayagraj),Traffic Control,Others,Greviously Injured,9,51
Allahabad(Prayagraj),Traffic Control,Others,Minor Injury,338,57
Allahabad(Prayagraj),Traffic Control,Others,Persons Killed,277,13
Allahabad(Prayagraj),Traffic Control,Others,Total Injured,347,23
Allahabad(Prayagraj),Traffic Control,Others,Total number of Accidents,577,79
Allahabad(Prayagraj),Traffic Control,Police Controlled,Greviously Injured,18,87
Allahabad(Prayagraj),Traffic Control,Police Controlled,Minor Injury,55,22
Allahabad(Prayagraj),Traffic Control,Police Controlled,Persons Killed,51,34
Allahabad(Prayagraj),Traffic Control,Police Controlled,Total Injured,73,40
Allahabad(Prayagraj),Traffic Control,Police Controlled,Total number of Accidents,101,21
Allahabad(Prayagraj),Traffic Control,Stop Sign,Greviously Injured,24,81
Allahabad(Prayagraj),Traffic Control,Stop Sign,Minor Injury,52,79
Allahabad(Prayagraj),Traffic Control,Stop Sign,Persons Killed,62,32
